BAIRRO,PERCENTUAL HABITANTES BRANCO,RENDA MENOR 1 SL
PERNAMBUÉS,abaixo de 20%,30-60
SANTA CRUZ,abaixo de 20%,30-60
PITUBA,acima de 50%,abaixo de 30%
BROTAS,30-50,30-60
FAZENDA GRANDE DO RETIRO,abaixo de 20%,60-75
ITAPUÃ,30-50,30-60
SÃO CRISTÓVÃO,30-50,abaixo de 30%
LIBERDADE,abaixo de 20%,30-60
BEIRU/TANCREDO NEVES,abaixo de 20%,60-75
FEDERAÇÃO,abaixo de 20%,30-60
NORDESTE DE AMARALINA,20-30,abaixo de 30%
ÁGUAS CLARAS,abaixo de 20%,acima de 75%
CABULA,acima de 50%,abaixo de 30%
SÃO MARCOS,abaixo de 20%,30-60
PARIPE,abaixo de 20%,60-75
BOCA DO RIO,30-50,30-60
PERIPERI,abaixo de 20%,30-60
MATA ESCURA,abaixo de 20%,60-75
IMBUÍ,30-50,30-60
PLATAFORMA,abaixo de 20%,60-75
PIRAJÁ,abaixo de 20%,acima de 75%
ENGENHO VELHO DE BROTAS,20-30,30-60
SÃO CAETANO,abaixo de 20%,60-75
COSME DE FARIAS,20-30,30-60
SUSSUARANA,abaixo de 20%,acima de 75%
CASTELO BRANCO,abaixo de 20%,60-75
LOBATO,abaixo de 20%,60-75
PAU DA LIMA,20-30,60-75
CHAME-CHAME,acima de 50%,abaixo de 30%
URUGUAI,abaixo de 20%,acima de 75%
