BAIRRO,POPULAÇÃO,14-04,16-04,17-04,20-04,22-04,23-04,24-04,27-04,28-04,29-04,30-04,04-05,05-05,06-05,07-05,12-05,13-05,14-05,15-04,22-05,27-05,02-06,09-06,15-06,16-06,17-06,18-06,19-06,20-06,21-06,22-06,23-06,24-06,25-06,01-07,06-07,08-07,09-07,10-07,14-07,15-07,16-07,17-07,18-07,19-07,20-07,23-07,24-07,28-07,29-07,30-07,03-08,08-08,11-08,12-08,17-08,19-08,18-08,21-08,20-08,22-08,25-08,29-08,30-08,03-09,06-09
ACUPE,11213,6,6,6,7,7,8,9,9,9,9,9,9,11,11,11,11,11,12,12,21,28,52,60,74,74,83,86,89,103,90,90,92,97,102,162,178,179,180,184,200,201,201,201,205,206,206,220,222,236,247,250,264,282,289,292,318,329,321,330,329,339,339,346,346,350,356
ÁGUAS CLARAS,37029,1,2,2,3,3,3,3,4,4,5,6,8,8,8,10,11,12,14,14,20,25,104,142,166,181,185,187,189,215,210,214,219,232,239,342,351,369,422,426,441,444,444,444,444,444,445,506,509,524,549,553,571,774,869,905,1074,1220,1159,1312,1277,1343,1381,1422,1424,1448,1459
ALTO DO COQUEIRINHO,11145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,11,27,35,37,37,38,37,39,39,39,42,45,46,57,70,71,76,77,84,84,84,84,84,84,84,95,101,106,108,110,117,120,127,127,135,139,136,140,140,141,142,144,144,145,149
AMARALINA,4125,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,6,13,16,42,58,84,87,92,94,95,100,97,99,102,106,113,144,164,172,183,184,198,198,198,198,198,198,199,221,229,237,240,241,249,266,271,274,294,300,297,305,302,310,312,328,328,337,339
ARENOSO,16604,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,14,19,49,64,82,86,90,92,94,112,100,103,109,111,111,166,189,189,190,200,217,217,217,218,222,223,223,251,263,286,304,312,334,361,374,376,393,396,395,404,403,407,412,419,419,426,429
BAIRRO DA PAZ,19407,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,6,6,6,6,10,12,31,53,61,62,66,67,70,79,76,78,79,81,83,110,119,122,127,130,130,130,130,134,135,135,135,145,147,152,160,163,170,180,184,187,198,207,200,212,211,215,216,227,227,231,238
BARRA,17298,12,14,15,16,18,18,18,18,18,19,20,23,23,23,23,23,23,26,27,40,45,130,194,225,239,251,256,264,287,248,248,253,262,277,448,458,458,458,458,477,478,478,478,479,480,480,496,505,540,540,540,550,582,603,609,637,648,643,659,656,661,665,680,681,597,609
BARRIS,4845,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,29,38,43,45,46,49,49,55,53,53,53,53,55,84,94,98,102,102,105,105,105,107,108,109,109,116,116,123,125,126,129,140,143,145,162,168,166,172,170,173,175,180,180,180,187
BEIRU/TANCREDO NEVES,50416,2,2,2,2,3,6,8,9,9,13,13,13,13,13,15,17,18,19,22,28,69,159,244,301,313,327,330,336,375,358,360,369,382,391,564,660,660,674,698,747,748,804,820,839,841,843,965,993,1046,1127,1144,1215,1298,1346,1359,1428,1450,1437,1468,1459,1478,1499,1532,1532,1545,1566
BOCA DO RIO,48032,5,5,5,6,7,8,9,10,10,10,11,11,11,11,11,11,11,11,15,35,52,123,176,243,259,278,280,285,310,308,312,325,339,355,477,527,562,578,588,621,622,638,642,646,649,652,714,727,771,822,851,912,1008,1046,1056,1126,1155,1133,1179,1172,1191,1203,1251,1253,1295,1306
BONFIM,9446,5,5,6,11,12,17,20,20,20,27,29,31,32,34,36,38,39,39,46,56,67,112,132,154,159,163,164,166,180,159,159,165,168,173,232,237,240,243,249,266,266,266,266,269,270,270,285,286,303,303,308,316,327,337,340,359,365,361,369,367,373,377,382,383,391,393
BROTAS,70158,27,32,32,33,33,36,40,42,46,46,50,52,52,53,56,56,57,57,64,96,123,373,509,597,636,665,677,684,750,719,725,750,793,826,1104,1195,1267,1307,1328,1404,1406,1437,1448,1458,1462,1469,1603,1620,1698,1711,1726,1792,1909,1948,1962,2072,2115,2084,2148,2138,2164,2189,2272,2275,2035,2046
CABULA,23869,8,9,9,9,11,12,13,14,15,17,17,17,18,18,24,29,29,31,31,53,84,196,255,333,343,354,356,358,436,439,440,463,488,517,660,734,757,840,852,889,890,890,890,890,896,898,990,998,1031,1060,1072,1110,1147,1178,1188,1261,1279,1272,1298,1294,1307,1341,1361,1363,1386,1408
CAIXA D’ÁGUA,22446,1,4,5,6,6,6,7,8,8,10,11,13,13,13,14,14,16,17,18,23,38,107,132,182,192,204,209,216,236,199,199,203,216,225,338,346,358,369,376,410,410,410,415,417,422,423,457,457,488,488,492,510,521,527,532,570,583,578,590,586,590,596,605,605,618,621
CAJAZEIRAS II,1137,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,8,10,12,12,12,12,11,8,8,8,9,9,16,24,31,39,40,41,46,46,46,46,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,49,49
CAJAZEIRAS XI,16899,3,3,3,3,4,4,4,4,4,4,6,6,6,7,7,9,9,10,10,33,70,23,26,36,38,41,42,43,47,45,46,46,49,49,69,78,82,86,90,90,117,137,139,147,147,149,158,160,161,164,165,175,258,298,307,357,365,359,437,422,463,486,514,515,523,524
CAMINHO DAS ÁRVORES,12323,8,8,8,8,8,8,8,8,10,10,10,11,11,14,17,19,22,22,23,33,38,108,130,164,171,175,176,177,199,200,201,209,213,223,274,287,297,307,320,331,331,337,341,343,344,344,368,377,394,402,408,419,437,448,451,473,484,482,489,488,493,503,518,519,528,533
CAMINHO DE AREIA,12318,4,4,4,4,5,8,11,11,11,11,11,12,12,12,12,12,12,12,14,17,20,43,50,61,64,67,67,68,71,66,67,69,72,73,98,106,110,116,120,130,130,130,130,133,133,134,145,146,151,153,154,162,169,175,176,183,188,185,190,190,190,191,198,198,201,203
CAMPINAS DE PIRAJÁ,11673,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,6,10,46,66,88,87,92,90,92,98,92,92,95,98,102,150,167,177,187,191,193,193,193,193,193,195,195,222,223,226,240,241,250,262,268,269,286,297,293,304,303,306,306,311,311,317,322
CANDEAL,13553,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,9,11,11,13,15,19,71,102,130,140,151,153,154,171,170,172,182,187,192,243,258,269,286,288,299,300,300,300,300,302,302,319,323,328,334,336,341,371,384,388,404,415,408,420,420,423,431,447,449,456,462
